Code,Name,Role,Theme,Target Weight,Current Weight,Direction Light,Feedback,Buy Filter,One-Vote Veto,Action,Notes,Asset Type,Manual Quality Score,Quality Evidence,Share/Chip Signal,Premium Signal,Leader Signal,Next-Day Signal,Thesis,Invalidation
159338,中证A500ETF,低波权益层,宽基,0.08,0.0702,,,,,,低波权益底仓; 不计入现金安全垫,ETF,8.0,宽基低波权益底仓; 用于全资产低波权益层而非现金替代,,,,,A500用于承接低波权益目标并平衡成长波动,大盘系统性破位或与上证ETF重复暴露过高
512890,红利低波ETF,低波权益层,防御,0.05,0.0406,,,,,,低波权益; 不计入现金安全垫,ETF,8.0,低波权益层工具; 分红低波特征明确; 不能当作现金安全垫,,,,,红利低波提供权益底仓和波动缓冲,红利拥挤或宽基系统性风险拖累
600900,长江电力,红利个股观察-A档,红利现金流,0.015,0,,,,,,长期稳定分红; 低波现金流层; 等股息率安全垫和缩量回踩,Stock,8.8,公用事业核心现金流; 分红稳定性强; 适合作为红利压舱石; 需持续复核分红连续性/现金流覆盖/资本开支,,,,,水电现金流稳定性强; 红利现金流底座,来水/电价/资本开支或现金流覆盖分红恶化
600941,中国移动,红利个股观察-A档,红利现金流,0.010,0,,,,,,长期稳定分红; 运营商现金流; 不追高,Stock,8.6,运营商类公用事业属性; 分红确定性较强; 需跟踪资本开支周期和现金流覆盖,,,,,运营商现金流稳定并具备分红确定性,资本开支超预期或ARPU/现金流恶化
601398,工商银行,红利个股观察-A档,红利现金流,0.008,0,,,,,,国有大行红利底仓; 分散银行风险; 不单一重仓,Stock,8.4,分红规模核心底仓; 低波属性强; 需复核净息差/资产质量/地产链风险,,,,,国有大行分红规模与稳定性提供低波现金流,净息差继续恶化或资产质量超预期下行
601939,建设银行,红利个股观察-A档,红利现金流,0.008,0,,,,,,国有大行红利底仓; 与工行分散; 不追估值修复后高位,Stock,8.4,国有大行分红稳定性强; 适合与工商银行分散; 需复核净息差和资产质量,,,,,大行稳健分红与低波属性,净息差/地产链风险恶化或估值已明显透支
601088,中国神华,红利个股观察-A档,红利现金流,0.005,0,,,,,,能源红利核心; 周期属性更高; 只做红利增强,Stock,8.2,能源现金流和股息吸引力强; 但煤价/发电/资本开支周期性更高,,,,,能源红利增强仓提供更高股息弹性,煤价周期下行或资本开支/政策冲击削弱现金流
000333,美的集团,红利个股观察-A档,红利现金流,0.004,0,,,,,,质量红利增强; 分红+经营质量; 不用消费品牌替代估值纪律,Stock,8.2,家电质量红利; 现金流和经营质量兼具; 需复核收入增长/利润率/估值安全垫,,,,,消费制造质量红利增强低波现金流层,收入增长放缓/现金流恶化/估值透支
511180,可转债ETF,弹性低波层,防御,0.05,0.0369,,,,,,弹性低波; 分批配置,ETF,7.0,弹性低波层工具; 具备类权益增强属性但不计入现金安全垫,,,,,可转债ETF用于弹性低波层并提供中低波动增强,转债估值过热或权益市场系统性风险扩大
511010,国债ETF,纯防御层,防御,0.06,0.0541,,,,,,纯防御; 可与CASH共同计入防御层,ETF,9.0,纯防御层工具; 可计入现金安全垫和防御层,,,,,国债ETF用于流动性与防守,利率大幅上行或安全垫已达目标后暂停新增
002594,比亚迪,2030战略观察仓,新能源,0.03,0.0933,,,,,,2030战略观察; 现有9-10万元作为底仓; 不做T不追涨; 基本面确认+估值安全垫+技术买点同时通过后才小额加仓,Stock,7.5,人工初筛完整评分; 全球TOP1长期逻辑与海外/智能化/储能可选项值得观察; 当前不是第一主线进攻仓; 证伪条件为海外受阻、价格战恶化、净利率长期低于3%-4%、现金流恶化,,,,,2030战略观察仓; 跟踪全球销量、海外占比、净利率、智能化和现金流质量,海外扩张受阻或国内价格战恶化或净利率长期低于3%-4%或现金流恶化或股价涨但利润不涨
688083,中望软件,遗留仓,AI算力,0.02,0.0529,,,,,,框架外遗留冻结仓; 防沉没成本补仓; 不加仓不升级反弹减,Stock,4.5,低端软件与普通AI应用存在AI替代边界风险; 亏损不是补仓理由; 框架明确遗留冻结,,,,,遗留仓只做退出复审不做新增,AI替代风险扩大或无法写出清晰证伪条件
562550,绿电ETF,遗留仓,新能源,0.02,0.0456,,,,,,新能源冗余; 反弹减,ETF,5.0,非核心新能源保留仓; 上传框架要求释放资金转向核心主线,,,,,仅作为遗留仓处理并等待压降,新能源供给过剩或仓位占用核心主线资金
688012,中微公司,半导体设备个股观察,半导体设备,,,,,,,长期跟踪; 质量≥8后仅小仓验证,半导体设备核心个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; 国产刻蚀设备核心公司; 跟踪国产替代与先进制程设备订单; 证伪条件为订单低于预期或毛利率下行或主线退潮,,,,,国产刻蚀设备核心公司; 跟踪国产替代与先进制程设备订单,设备订单低于预期或毛利率下行或科创半导体主线退潮或跌破爆量K低点
002371,北方华创,半导体设备个股观察,半导体设备,,,,,,,长期跟踪; 质量≥8后仅小仓验证,半导体设备核心个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; 国产半导体设备平台型公司; 跟踪设备国产化与产线扩张节奏; 证伪条件为订单低于预期或估值透支或龙头同步走弱,,,,,国产半导体设备平台型公司; 跟踪设备国产化与产线扩张节奏,设备订单低于预期或估值透支或板块龙头同步走弱或放量滞涨
688072,拓荆科技,半导体设备个股观察,半导体设备,,,,,,,长期跟踪; 质量≥8后仅小仓验证,薄膜沉积设备个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; 薄膜沉积设备国产替代方向; 跟踪ALD和CVD设备订单与客户验证; 证伪条件为订单或客户验证低于预期,,,,,薄膜沉积设备国产替代方向; 跟踪ALD CVD等设备订单与客户验证,订单或客户验证低于预期或科创设备链退潮或跌破爆量K低点
688120,华海清科,半导体设备个股观察,半导体设备,,,,,,,长期跟踪; 质量≥8后仅小仓验证,CMP设备个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; CMP设备与晶圆制造国产化链条; 跟踪客户扩产与消耗件协同; 证伪条件为订单下修或毛利率下行或板块退潮,,,,,CMP设备与晶圆制造国产化链条; 跟踪客户扩产与消耗件协同,CMP设备订单下修或毛利率下行或板块退潮或跌破爆量K低点
300308,中际旭创,AI算力个股观察,AI算力,,,,,,,长期跟踪; 质量≥8后仅小仓验证,光模块核心个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; AI算力光模块龙头; 跟踪800G和1.6T需求与海外云厂资本开支; 证伪条件为AI资本开支下修或价格战或龙头破位,,,,,AI算力光模块龙头; 跟踪800G/1.6T需求与海外云厂资本开支,AI资本开支下修或光模块价格战或龙头放量破位或放量滞涨
300502,新易盛,AI算力个股观察,AI算力,,,,,,,长期跟踪; 质量≥8后仅小仓验证,光模块核心个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; 高速光模块受益AI算力扩张; 跟踪产品迭代与客户结构; 证伪条件为订单低于预期或光模块链退潮或估值透支,,,,,高速光模块受益AI算力扩张; 跟踪产品迭代与客户结构,订单低于预期或光模块链退潮或估值透支或跌破爆量K低点
300394,天孚通信,AI算力个股观察,AI算力,,,,,,,长期跟踪; 质量≥8后仅小仓验证,光器件核心个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; 高速光器件与光引擎零部件方向; 跟踪AI光通信链景气度; 证伪条件为核心客户订单下修或盈利弹性下降,,,,,高速光器件与光引擎零部件方向; 跟踪AI光通信链景气度,核心客户订单下修或光模块链退潮或盈利弹性下降或放量滞涨
002463,沪电股份,AI算力个股观察,AI算力,,,,,,,长期跟踪; 质量≥8后仅小仓验证,AI PCB核心个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; AI服务器高速PCB方向; 跟踪交换机服务器升级与产能利用率; 证伪条件为AI服务器需求下修或PCB毛利率下行,,,,,AI服务器高速PCB方向; 跟踪交换机服务器升级与产能利用率,AI服务器需求下修或PCB毛利率下行或资金退潮或跌破爆量K低点
688008,澜起科技,AI算力个股观察,AI算力,,,,,,,长期跟踪; 质量≥8后仅小仓验证,算力芯片与内存接口个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; 内存接口芯片与AI算力相关芯片方向; 跟踪DDR5与AI服务器渗透; 证伪条件为产品周期不及预期或估值透支,,,,,内存接口芯片与AI算力相关芯片方向; 跟踪DDR5与AI服务器渗透,产品周期不及预期或估值透支或半导体链退潮或放量滞涨
601138,工业富联,AI算力个股观察,AI算力,,,,,,,长期跟踪; 质量≥8后仅小仓验证,AI服务器硬件链个股; 爆量后缩量回踩不破K低点才复核; 不自动买入,Stock,8.0,人工初筛完整评分; AI服务器制造与硬件链代表; 跟踪云厂订单与服务器出货; 证伪条件为云厂Capex下修或利润率恶化或硬件链退潮,,,,,AI服务器制造与硬件链代表; 跟踪云厂订单与服务器出货,云厂Capex下修或利润率恶化或AI硬件链退潮或跌破爆量K低点
